session,flight_id,N_requested,N_used,status,speed_m_s,elevation_deg,accel_mag_m_s2,gravity_crosscheck_diff_deg,registration_used,n_paired_frames,flag_reason
2026_07_21_gym,flight_72,30,30,ok,8.5074,4.4289,9.4965,23.6381,registration2,42,"|a|=9.50 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_73,20,20,ok,7.6183,19.8075,10.9285,13.8938,registration2,56,
2026_07_21_gym,flight_73,30,30,ok,7.7321,19.1816,10.4567,9.2385,registration2,56,
2026_07_21_gym,flight_74,20,20,ok,8.7560,13.5495,13.6695,36.4788,registration2,46,"|a|=13.67 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_74,30,30,ok,8.8953,12.0959,10.1770,17.3922,registration2,46,
2026_07_21_gym,flight_75,20,20,ok,7.6054,5.9359,8.0588,40.7559,registration2,47,"|a|=8.06 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_75,30,30,ok,7.3402,8.0944,8.5206,23.7407,registration2,47,"|a|=8.52 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_76,20,20,ok,7.3543,14.5924,15.8197,47.4278,registration2,48,"|a|=15.82 outside nominal band [9.8,11.0]; gravity crosscheck diff=47.4 deg > 45.0"
2026_07_21_gym,flight_76,30,30,ok,7.6191,12.8912,10.1026,16.4384,registration2,48,
2026_07_21_gym,flight_77,20,20,ok,7.7696,8.5947,10.4155,22.8640,registration2,43,
2026_07_21_gym,flight_77,30,30,ok,7.9917,7.5748,9.2603,14.9160,registration2,43,"|a|=9.26 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_78,20,20,ok,8.6608,5.8318,10.2501,9.4373,registration2,43,
2026_07_21_gym,flight_78,30,30,ok,8.9979,5.3087,10.1355,17.7044,registration2,43,
2026_07_21_gym,flight_79,20,20,ok,9.7874,-3.2635,8.7149,27.0531,registration2,35,"|a|=8.71 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_79,30,30,ok,9.6485,-3.1630,8.4876,20.4530,registration2,35,"|a|=8.49 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_80,20,20,ok,8.6331,-6.8199,7.3610,14.1080,registration2,28,"|a|=7.36 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_80,30,28,ok,8.8192,-6.6693,8.3731,29.9038,registration2,28,"|a|=8.37 outside nominal band [9.8,11.0]; adjusted from 30 -> 28, flight has fewer usable frames"
2026_07_21_gym,flight_81,20,20,ok,9.9370,-6.6695,8.0971,34.0708,registration2,31,"|a|=8.10 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_81,30,30,ok,9.8291,-5.0899,9.4382,25.6168,registration2,31,"|a|=9.44 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_82,20,20,ok,9.4429,-0.4596,9.2026,9.0040,registration2,35,"|a|=9.20 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_82,30,30,ok,9.6892,-0.6467,9.3276,18.5169,registration2,35,"|a|=9.33 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_83,20,20,ok,9.3717,4.7904,11.2402,22.9281,registration2,41,"|a|=11.24 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_83,30,30,ok,9.4838,3.4124,10.0395,27.3573,registration2,41,
2026_07_21_gym,flight_84,20,20,ok,10.4476,-9.8608,9.6150,19.6428,registration2,26,"|a|=9.61 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_84,30,26,ok,10.4635,-9.3465,10.1747,19.1664,registration2,26,"adjusted from 30 -> 26, flight has fewer usable frames"
2026_07_21_gym,flight_85,20,20,ok,9.6144,7.7947,11.5180,23.2142,registration2,40,"|a|=11.52 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_85,30,30,ok,9.5095,7.2403,10.1773,15.6033,registration2,40,
2026_07_21_gym,flight_86,20,20,ok,9.7195,-3.2273,9.9646,30.6579,registration2,33,
2026_07_21_gym,flight_86,30,30,ok,9.8675,-2.7924,9.2429,16.5679,registration2,33,"|a|=9.24 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_87,20,20,ok,9.5385,4.4130,9.8029,20.2174,registration2,40,
2026_07_21_gym,flight_87,30,30,ok,9.5076,4.3277,9.7365,20.1067,registration2,40,"|a|=9.74 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_88,20,20,ok,9.5011,10.0503,11.3105,29.0249,registration2,42,"|a|=11.31 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_88,30,30,ok,9.2515,9.1720,9.8744,26.7157,registration2,42,
2026_07_21_gym,flight_89,20,20,ok,10.0693,-10.5822,10.7275,26.2167,registration2,23,
2026_07_21_gym,flight_89,30,23,ok,10.0398,-10.2820,11.1840,26.0222,registration2,23,"|a|=11.18 outside nominal band [9.8,11.0]; adjusted from 30 -> 23, flight has fewer usable frames"
2026_07_21_gym,flight_90,20,20,ok,8.2192,7.0420,8.7008,19.0072,registration2,45,"|a|=8.70 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_90,30,30,ok,8.2329,8.1670,9.5095,15.7462,registration2,45,"|a|=9.51 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_91,20,20,ok,6.4168,57.1255,10.6977,28.1948,registration2,78,
2026_07_21_gym,flight_91,30,30,ok,6.6756,55.0034,10.2001,9.6245,registration2,78,
2026_07_21_gym,flight_92,20,20,ok,6.8883,50.4001,11.0686,11.9423,registration2,74,"|a|=11.07 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_92,30,30,ok,6.9109,47.8113,9.7673,5.5271,registration2,74,"|a|=9.77 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_93,20,20,ok,7.5562,53.1275,17.8194,41.7731,registration2,78,"|a|=17.82 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_93,30,30,ok,7.1569,51.6664,10.6076,9.4407,registration2,78,
2026_07_21_gym,flight_94,20,20,ok,7.7107,54.7450,10.8583,6.1518,registration2,85,
2026_07_21_gym,flight_94,30,30,ok,7.7540,54.6049,10.9438,5.6771,registration2,85,
2026_07_21_gym,flight_95,20,20,ok,7.7765,54.0789,11.4488,8.9334,registration2,84,"|a|=11.45 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_95,30,30,ok,7.6665,53.1688,10.4311,4.6233,registration2,84,
2026_07_21_gym,flight_96,20,20,ok,6.4462,46.9462,8.3737,29.2722,registration2,74,"|a|=8.37 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_96,30,30,ok,6.5829,48.9588,9.2199,3.7431,registration2,74,"|a|=9.22 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_97,20,20,ok,6.0706,51.9255,10.7590,23.9678,registration2,70,
2026_07_21_gym,flight_97,30,30,ok,6.2300,50.1424,9.9639,7.6628,registration2,70,
2026_07_21_gym,flight_98,20,20,ok,7.2461,53.1168,11.4416,5.2852,registration2,78,"|a|=11.44 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_98,30,30,ok,7.0995,52.9293,10.3810,6.5638,registration2,78,
2026_07_21_gym,flight_99,20,20,ok,6.4730,50.1882,11.2099,50.8135,registration2,80,"|a|=11.21 outside nominal band [9.8,11.0]; gravity crosscheck diff=50.8 deg > 45.0"
2026_07_21_gym,flight_99,30,30,ok,6.7197,55.2087,10.5345,3.2428,registration2,80,
2026_07_21_gym,flight_100,20,20,ok,7.1513,50.1091,8.2061,15.1372,registration2,83,"|a|=8.21 outside nominal band [9.8,11.0]"
